season,disagreements,total_weeks,mean_p_disagree,ODS,ODS_mc,actual_method
1,0,3,0.0,0.0,0.0,rank
2,0,6,0.055999999999999994,0.0,0.055999999999999994,rank
3,2,6,0.38433333333333325,0.3333333333333333,0.38433333333333325,percent
4,3,8,0.22149999999999997,0.375,0.22149999999999997,percent
5,1,8,0.17749999999999996,0.125,0.17749999999999996,percent
6,5,8,0.20699999999999996,0.625,0.20699999999999996,percent
7,1,7,0.1694285714285714,0.14285714285714285,0.1694285714285714,percent
8,3,9,0.20111111111111107,0.3333333333333333,0.20111111111111107,percent
9,0,8,0.15549999999999997,0.0,0.15549999999999997,percent
10,5,8,0.19099999999999995,0.625,0.19099999999999995,percent
11,4,8,0.20249999999999996,0.5,0.20249999999999996,percent
12,1,8,0.17424999999999996,0.125,0.17424999999999996,percent
13,5,8,0.27075,0.625,0.27075,percent
14,2,8,0.24849999999999994,0.25,0.24849999999999994,percent
15,3,6,0.606,0.5,0.606,percent
16,3,8,0.09524999999999999,0.375,0.09524999999999999,percent
17,4,9,0.2882222222222222,0.4444444444444444,0.2882222222222222,percent
18,0,7,0.25371428571428567,0.0,0.25371428571428567,percent
19,6,9,0.22533333333333327,0.6666666666666666,0.22533333333333327,percent
20,2,8,0.42225,0.25,0.42225,percent
21,4,7,0.34228571428571425,0.5714285714285714,0.34228571428571425,percent
22,4,7,0.24342857142857138,0.5714285714285714,0.24342857142857138,percent
23,2,9,0.2348888888888888,0.2222222222222222,0.2348888888888888,percent
24,1,8,0.34199999999999997,0.125,0.34199999999999997,percent
25,3,8,0.16899999999999996,0.375,0.16899999999999996,percent
26,2,2,0.0929999999999999,1.0,0.0929999999999999,percent
27,1,6,0.4623333333333333,0.16666666666666666,0.4623333333333333,percent
28,0,6,0.0,0.0,0.0,rank
29,0,9,0.0,0.0,0.0,rank
30,0,8,0.06825,0.0,0.06825,rank
31,0,8,0.0,0.0,0.0,rank
32,0,7,0.0,0.0,0.0,rank
33,0,6,0.0,0.0,0.0,rank
34,0,8,0.0445,0.0,0.0445,rank
